"id","question_en","intent_type","notes"
"Q01","What did you make of that game?","Evaluation","Post-match standard"
"Q02","How are you feeling? / How did it feel?","Feeling","Emotional state"
"Q03","Can you talk us through the goal?","Tactical","Video clip focus"
"Q04","What did the manager say to you at half-time?","Instruction","Locker room talk"
"Q05","How pleased were you with the character and spirit the team showed?","Evaluation","Team spirit focus"
"Q06","Can you give us an update on [Player]'s injury / fitness?","Health","Injury news"
"Q07","How important was the atmosphere and the fans today?","Gratitude","Fans/Atmosphere"
"Q08","Are you disappointed with the result / performance?","Evaluation","Negative result focus"
"Q09","What was the game plan going into this match?","Tactical","Tactical preparation"
"Q10","What did you see as the big differences between the first half and the second half?","Tactical","Advanced comparison"
"Q11","How difficult was it playing with 10 men?","Tactical","Specific game event"
"Q12","How do you cope with the busy schedule and fatigue?","Personal","Fitness management"
"Q13","How important is it to keep a clean sheet?","Tactical","Defensive focus"
"Q14","What was your view on the penalty / VAR decision?","Opinion","Controversial moments"
"Q15","How pleased are you with [Player]'s individual performance?","Evaluation","Teammate praise"
"Q16","How are you finding your new positional role?","Personal","Tactical adaptation"
"Q17","Where does this leave you in the title race / top 4 battle?","Future","Positioning focus"
"Q18","Did you expect that sort of physically intense game?","Evaluation","Game intensity"
"Q19","Does this win give you momentum going forward?","Future","Momentum focus"
"Q20","How proud are you of the young / academy players stepping up?","Gratitude","Academy focus"
"Q21","Can you explain the tactical tweaks you made?","Tactical","Detailed tactics"
"Q22","What are your ambitions for the rest of the season?","Future","Ambition focus"
"Q23","How are the new signings settling in?","Personal","Adaptation focus"
"Q24","Is this a missed opportunity?","Evaluation","Critical reflection"
"Q25","What does it mean to wear the captain's armband for this club?","Personal","Leadership focus"
"Q26","How much do you work on set-pieces in training?","Tactical","Training routine"
"Q27","How do you handle the pressure of these big games?","Mental","Mental fortitude"
"Q28","How did you mentally deal with your recent injury setbacks?","Mental","Recovery path"
"Q29","What are your thoughts on the opponent's performance?","Evaluation","Opposition praise"
"Q30","What is your message to the supporters?","Gratitude","Fan message"
"Q_NEW01","How has the manager helped your game?","Personal","감독의 선수 개인 영향"
"Q_NEW02","Does the manager spend time with you one-to-one?","Personal","감독과 1:1 소통"
"Q_NEW03","What makes the difference in tight games?","Mental","접전 경기 결정 요인"
